Element,delete flag,Entity Name,Original Alternative Entity Name  (Including entity names are duplicates),col-C,col-D,Actor /Role /Service,Hierarchy Conceptual/ Logical/ Physical,Role (from role tab),Type,NIST (Legacy) Domain ,Manufacturer-CIM (IEC #) Type of Zone,Description,"Actor/ type
or
Role",Related Role,Business function/ service,AMI Systems,Electric Transportaion,Distribution Grid Mgmt,WASA,Demand Response,Electric Storage,Conceptual Model,Reference Diagram,NAESB,CSWG NISTIR 7628,CSWG Actors,IEEE P2030 Draft 3.0  ,EIS,EU Commission,EU WGSP Vers 0.5,SGAC Conceptual Arch,IEC TC57-WG19 DER Actor/Roles,EU SC-CG WP1 ,ENTSO-E role model,AhG Charging,IEC61968 IRM,IEC SG3,GUC,DKE Repository,SMCG,EG3,EU Source:unknown,New,Note,US/EU Input,There are several entities that more concisely describe this concept - this should show up as a column B item for traceability
85,,Distribution Record Service,CM: Distribution Record,,,Service,Conceptual,,Application,Distribution,,"Service performed by actors that permit other domains to review what has happened on the grid for financial, engineering, operational, compliance and forecasting purposes. ",system actor,grid operator,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
86,,Distribution Sensor,IE: Sensors and Measurement Devices,,,Actor,Logical,,Device,Distribution,,"A Distribution System device (outside the substation) that measures a physical quantity and converts it into a signal which can be read by an observer or by an instrument. Examples include oscillographs, meters, temperature sensors.",system actor,grid operator,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,US,
87,,Distribution Stabilize and Optimize,,,,Service,Conceptual,,Application,Distribution,,"Performed by actors to ensure the network is operating within appropriate tolerances across the system. They  gather information for control decisions that ensure reliable, proper operations (stability) and more efficient operations (optimization). Measurement and control form a feedback loop that allows grid operators to stabilize the flow of energy across the electric network or safely increase the load on a transmission path. ",,,function,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
88,,Distribution Substation,,,,Actor,Logical,,Facility,Distribution,,"A facility who's function is to step-down voltages for distribution feeders. Contains not only transformers, but usually other devices to maintain power quality and reliablity, such as capacitor banks, Ground fault limiters, fuses, reactors.",system actor,grid operator,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
89,,Distribution Substation Network,,,,Actor,Logical,,Facility,Distribution,,"These networks interconnect devices within a substation for localized or  a backhauled WAN connection to Grid Operations . A typical example includes a local Ethernet LAN containing switching, protection andcontrol equipment . The Standard protocol of choice is IEC61850 and/or DNP3.",,,"function/
service ",,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
90,,Distribution System Energy Resources,IE: Distribution System Distributed Energy Resources,,,Actor,Logical,,Device,Distribution,,Generation sources connected to the distribution grid regardless of size. Typically these are utilities owned resources. They do not include Customer-permises or Generation generation assets.,system actor,producer,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
91,,Distribution System Operator,,DSO,,Role,Conceptual,,Role,Distribution,,"according to the Article 2.6 of the Directive: ""a natural or legal person responsible for operating, ensuring the maintenance of and, if necessary, developing the distribution system in a given area and, where applicable, its interconnections with other systems and for ensuring the long-term ability of the system to meet reasonable demands for the distribution of electricity"". Moreover, the DSO is responsible for regional grid access and grid stability, integration of renewables at the distribution level and regional load balancing.",role,grid operator,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
92,,Electric Meter,,,,Actor,Logical,,Device,Cross Cutting,Field Monitoring,A device that is either used for revenue grade at the pPoint of sSale measuring or facility grade device used for the transfer of electricity product and measuring usage and possibly control from one domain/system to another,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,US,
93,,Electric Storage,W19: Storage System,,,Role,Logical,,Device,Cross Cutting,Process,"A system capable of storing power for use at a later time. Examples include pumped water storage, Advanced Energy Systems (AES), Plug-in Electric Vehicles (PEV), and thermal storage systems.",system actor,"consumer, producer",,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,US,"this is the role played played by other logical actors such as batteries, cap-banks, chemical reactions (which as logical subclasses of electrical storage)"
94,,Electric Vehicle, IE: Plug-in Electric Vehicle,,,Actor,Logical,,Device,Customer,,"A motorized car or truck which runs exclusively or partially on stored battery power as opposed to being powered directly by carbon-based fuel. Adiitionally, it plugs into a premise Energy Portal to charge vehicle. A PEV is also an EV (Electric Vehicle) that relies only on electric propulsion. A PEV is also a PHEV (Plug-In-Hybrid Vehicle) that also includes an alternative source of propulsion power.",system actor,consumer,,X,X,,,,X,X,X, ,X,,X,,,,,,,,,,,,,,,,,,US,
95,,Electric Vehicle / Transportation Solution Providers,,,,Actor,Logical,,Organization,Service Provider,,Manufacturers of electric vehicles and electric transportation (eg: rail). Of special interest for Smart Grid is the inclusion of intelligent communcating Provider of capabilities for remote monitoring and control (eg: charge/dischare cycles). ,system actor ?,consumer,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,US,
96,,Electric Vehicle Service Element,NR: Electric Vehicle Service Element/Plug-in Electric Vehicle;,EVSE,EVSE,Actor,Logical,,Device,Customer,,"Device which transfers electricity to electric vehicle batteries and which has information exchange capabilities. The charger can either be on-board the vehicle or off-board. On-board chargers require AC energy transfer to the vehicle (either 120 or 240V single phase) and Off-board chargers are within the EVSE and require. Note that information exchange capabilities for the EVSE are provided by the End Use Measurement Device (EUMD). Note new name added to describe the device from the service provider, this defintion needs correction",system actor,consumer,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
97,,Electrical Contractor,E: Installation Service Technician; E: Mertering operator,,,Actor,Logical,,Organization,Service Provider,,"Electrical contractors design, install and maintain industrial, commercial and domestic purposes. Alongside power and lighting applications, they  install ICT, Building Automation Systems (BAS), access, fire and security control equipment, lightning protection systems, and emergency power generating systems and renewable energy systems.",business actor,?,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,US,
98,,Electricity Installer Contractor,,,,Actor,Logical,,Organization,Service Provider,,"Electrical contractors design, install and maintain intelligent systems for all kinds of industrial, commercial and domestic purposes. Alongside the power and lighting applications, they equally install ICT and telecommunications, public street lighting, high medium and low voltage lines, control and energy management systems, access, fire and security control equipment, lightning protection systems, advertising and identification signs, emergency power generating systems and renewable energy systems.",business actor,resource ?,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
99,,Emerging Services,,,,Service,Conceptual,,Application,Service Provider,,"All the functions, services and innovations that have yet to be created. These will be instrumental in defining the Smart Grid of the future. ",,multiple,"function/
service ",,,,,,,X,,,,,,,, ,,,,,,,,,,,,,,,US,
100,,End Device,,,,Actor,Logical,,Device,Customer,,A physical end-use device that consumes or supplies electricity.,system actor,consumer/ producer,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
101,,End Use Measurement Device,CM: Electric Vehicle Meter,,,Actor,Logical,,Device,Customer,,Device which measures the  energy consumed by a PEV. Used in order to allow rates specific to electric vehicles.  Added name to correspond to device instead of the Service Provider,system actor,consumer,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
102,,End Use Measurement Device ,,EUMD,EUMD,Actor,Logical,,Device,Customer,,Device that measures and communicates the energy consumed by a Plug-in Electric Vehicle (PEV) and communicates the information to theEnergy Service Interface (ESI),system actor,consumer,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
103,,Energy Information Provider,,,,Actor,Logical,,Organizational Entity,Service Provider,,A Business that provide energy supply or demand information to Customers or authorized Third Parties.,,multiple,"function/
service ",,,,,,,,, ,,,,X,,,,,,,,,,,,,,,,,US,
104,,Energy Management System ,RM: EMS,EMS,EMS,Service,Logical,,Application,Operations,,"Energy Management System (EMS) is a system of computer-aided tools used by operators of electric utility grids to monitor, control, and optimize the performance of the generation and/or transmission system. EMS also provides Distribution Managment System (DMS) with transmission/generation-related objectives, constraints, and input data from other EMS applications.  EMS also provides Distribution Automation (DA) with transmission/generation-related objectives, constraints, and input data. EMS system contains the transmission power system model, and can provide the transmission connectivity.",system actor,grid operator,,X,,,X,,X,,, ,X,,,,,,,,,,,,,,,,,,,,US,
105,,Energy Market Clearinghouse,,,,Role,Conceptual,,Organization,Market,,"Wholesale market for energy products provides high-level market signals for operations I(ndependent System Operators (RTO)/Regional Transmission Operators (RTO) and Utility Operations), generation, Distributed Generation (DG) and demand response (DR) programmes.",role,?,,X,X,X,,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
106,,Energy Service Provider,E: Energy Service Company (ESCO),ESI,ESI,Role,Conceptual,,Organization,Service Provider,Enterprise,"Provides retail electricity, natural gas, and clean energy options, along with energy efficiency products and services.",role,?,,X,X,,,,,X,X, ,X,,X,,,,,x,,,,,,,,,,,,,US,
107,,Energy Services Gateway,RM: Meter/HAN Gateway;  NR: Home Area Network Gateway; CM: Home Gateway;,ESI,ESI,Actor,Logical,,Device ?,Customer,,"Network communications application device which provides a communications capability between premise network domains and network domains esternal to the premise network domain e.g. a gateway. 
When the gateway service is applied to the communications gateway from the utility (or other energy service provider) to the customer (premise network), additional functionality maybe applied (aka. Energy Services Interface) site. Provides cyber security and coordinates functions that enable secure interactions between relevant Home Area Network (HAN) Devices, meters and the Utility/ESP.  Permits applications such as remote load control, monitoring and control of distributed generation, in-home display of customer usage, reading of non-energy meters, and integration with building management systems.  Provides auditing/logging functions that record transactions to and from Home Area Networking Devices. Can also act as a gateway. Also commonly referred to as a Home-Area Network Gateway, or Residential Gateway. ",system actor,consumer,,X,X,,,,,X,X, ,X,,X,,,,,,,,,,,,,,,,,,US,
108,,Energy Services Interface ,NR: Energy Service Interface g/Gateway; IE: Energy Service Interface,ESI,ESI,Service,Logical,,Application,Customer,,"Network communications application device which provides a gateway from the utility (or other energy service provider) to the customer site. Provides cyber security and coordinates functions that enable secure interactions between relevant Home Area Network (HAN) Devices, meters and the Utility/ESP.  Permits applications such as remote load control, monitoring and control of distributed generation, in-home display of customer usage, reading of non-energy meters, and integration with building management systems.  Provides auditing /logging functions that record transactions to and from Home Area Networking Devices. This services is also a specialized class of services potentially included in HAN gateways. Also commenly referred to as a Home-Area Network Gateway.",,,"function/
service ",X,X,,,,,X,X, ,X,,X,,,,,,,,,,,,,,,,,,US,
109,,Energy Storage Management,RM: Utility EMS; NR: Bulk Storage Management,,,Service,Logical,,Application,Operations,Enterprise,A utility provided service to superviseor storage management on behalf of the customers.,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,US,
110,,Energy Supply Company,XX: Energy Supplier,,,Role,Logical,,Organization,Distribution,,"A company that delivers electricity to end use customers. Examples include investor-owned, municipal utilities, private providers.",role,?,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,US,
111,,Environmental Authority,,,,Role,Conceptual,Manager,Organization,Agency,Enterprise,"A regulatory authority responsible for the development, reporting and enforcement of environmental activities.",role,?,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
112,,Extension Planning,,,,Role,Logical,,Organization,Operations,,"Network Extension planning actors develop long term plans for power system reliability, monitor the cost, performance and schedule of construction, and define projects to extend the network such as new lines, feeders or switchgear. ",business actor,grid operator," or function/
service ",,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
113,,Facility,EU: Buildings,,,Role,Conceptual,,Facility,Cross Cutting,,"Something such as a building or large piece of equipment that is built for a specific purpose. In the NAESB context this is ""The location at which connection to the  distribution  (or transmission) system is made."" This is an abstract superclass role is used to describe a cluster of subclasses",,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,US,
114,,Facility Energy Management System/Gateway,,,,Role,Logical,,Device,Customer,,A logical or physical device typically located at the customer facility which combines communication gateway and energy management functions. ,,,,,,,,X,,,, ,,,,,,,,,,,,,,,,,,,,,US,
115,,Facility Manager,"E: 1) Landlord, 2) HomeOwner, 3) Operations Manager; CM: Building Manager",,,Role,Conceptual,,Organizational Entity,Customer,,"RolePerson responsible for the maintenance and operation of the facility. In the Residential market, this is the home owner, landlord, or building superintendent.",,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,US,
116,,Field Area Network (FAN),IE: Feeder Network,,,Service,Logical,,Facility,Distribution,,"The FAN connects distribution substations, field devices and Microgrids and Distributed Generation (including utility Bulk Storage) to the Grid Operations Core Network either directly or through a WAN or Backhaul facility.",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
117,,Field Crew Tools,: WorkforceTool,,,Actor,Logical,,Application,Operations,,A field engineering and maintenance tool set that includes any mobile computing and hand-held devices.,system actor,grid operator,,X,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,US,
118,,Financial,,,,Role,Conceptual,,Organization,Operations,,"Financial rolesactors measure performance across the whole organization, including the evaluation of investments in capital projects, maintenance, or operations. They track risk, benefits, costs and impact on levels of service. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
119,,Financial Manager,,,,Role,Conceptual,,Organizational Entity,Customer,,Person that is responsible for cost accounting and developing financial strategies for an industrial or commercial business.,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,US,
120,,Gas Meter,NR: Water/Gas Metering,,,Actor,Logical,,Device,Cross Cutting,Field Monitoring,"A device that is either used for revenue grade at the pPoint of sSale measuring or facility grade device used for the transfer of gas, product and measuring usage and possibly control from one domain/system to another",,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
121,yes,"Gas This is an SOA Element, not an actor or role.",,,,Actor,Logical,,Device,Generation,,"Power source provided by gas turbines. Typically used as ""peaker"" to satisfy peak load requirements. These plants are closer to the distribution load, in areas with constraint or high load profiles.",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
122,,Gateway,"RM: Facility EMS/Gateway, CM: Building Gateway",,,Service,Conceptual,,Application,Customer,,The function of translating two or more dissimilar protocols.  This role is often fufilled by a communications device (such as a router) used to send messages to devices and sub-systems in a building or structure or from one network domain to another.,,,"function/
service ",,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,US,
123,,Generation,IE: Grid Scale Energy Resource (Section 6)/Bulk generatioon (Section 7); CM: Building Automation (System) Gateway,,,Role,Conceptual,,Facility,Generation,,Conventional or renewable generation connected to the transmission grid (69kV and up).  Is 69kV really a requirement?  This should include all generation types DER and bulk.  Creating electricity.,role,producer,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
124,,Generation Asset Management,,,,Service,Logical,,Application,Generation,,"Performed by roles actors to determine equipment maintenance schedules, calculate the life expectancy of the device. They also record equipment operations and maintenance history for future operational and engineering decisions. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
125,,Generation Measure,,,,Role,Conceptual,Measure,Application,Generation,Process,"Performed by roles actors that provide visibility into the flow of power and the condition of the systems in the field. In the future measurement might be found in built into meters, transformers, feeders, switches and other devices in the grid. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
126,,Generation Operation/Control,CM: Generation.Control,,,Service,Conceptual,,Application,Generation,,Performed by roles actors that permit Operations to manage generation assets in maintaining the flow of power and reliability of the system. Generation dispatch is based upon reliablity with economic dispatch.,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
127,,Generation Protection,,,,Service,Conceptual,,Application,Generation,,"Performed by rolesActors that react rapidly to faults and other events in the system that might cause power outages, brownouts, or the destruction of equipment. Performed to maintain high levels of reliability and power quality. May work locally or on a wide scale. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
128,,Generation Record,,,,Role,Conceptual,,Application,Generation,,"Performed by actors that permit other domains to review what has happened on the grid for financial, engineering, operational, and forecasting purposes. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
129,,Generation Stabilize and Optimize ,,,,Service,Logical,,Application,Generation,,Performed by rolesactors that ensure the network is operating with the appropriate tolerances across the system. They may gather information to make control decisions that ensure reliable and proper operations (stability) or more efficient operations (optimization). Measurement and control form a feedback loop that allows grid operators to stabilize the flow of energy across the electric network or safely increase the load on a transmission path. ,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
130,,Generation Substation,,,,Actor,Logical,,Facility,Generation,,Centralized facility that steps-up voltage to transmission level. Usually located adjacent to the generation faciltiy.,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
131,,Market Generator,,,,Role,Conceptual,,Organization,Enterprise,,"Electricity producer (regardless of source), contributing actively to voltage and reactive power control, required to provide the relevant data (information on outages, forecast, actual production) to the energy marketplace",,,,,,,,,, ,,,,,X,,,,,,,,,,,,,,,,,,US,
132,,Geographic Information System,,GIS,GIS,Service,Logical,,Application,Operations,,"GIS formerly known as Automated Mapping/Facilities Management (AM/FM) contains the geographical information of the distribution power system circuit connectivity, as well as the parameters describing the power system facilities. Conceptually, the GIS' repository contains the  transmission connectivity, ownerships and relevant customer-premises data. Repository of distribution system assets, their relationships (connectivity), ownerships, and activities.",,,,X,,X,,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
133,yes,"Geothermal This is an SOA Element, not an actor or role.",,,,Actor,Logical,,Facility,Generation,,Power plants using geothermal steam for their turbines. These facilitities are located on seismically active areas with hydrothermic reservoirs. ,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,US,
134,,GIS Operator,,,,Actor,Logical,,Organizational Entity,Operations,,Operator of the Geographic Information System,,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
135,,Grid Access Provider,,,,Role,Conceptual,,Organizational Entity,Operations,,A party responsible for providing access to the grid through a local metering point and its use for energy consumption or production to the party connected to the grid. ,,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
136,,Grid Communications Network Providers,,,,Service,Conceptual,,Organization,Operations,,"They plan, build and maintain the communications systems that enable the data communication required to maintain grid stability, load balancing and fault protection systems. They also ensure compliance with the agreed service levels (Service Level Agreements including quality of service, data security and privacy) and compliance with any national and/or international regulations as necessary.",,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,US,
137,,Grid Operations,RM: Distribution Management; IE: Distribution Operation and Control,,,Service,Conceptual,,Organization,Operations,,"Grid operations manage and controls all utility assets, services and processes in ""real-time"" for the distribution of electricity (and gas and water) to and from customers and may serve customers who do not choose direct access. ",,,,,,,,X,,,, ,,,X,,,,,,,,,,,,,,,,,,US,
138,,Grid Operations Core Network,IE: Utility Control/Operations/Enterprise LAN,,,Role,Logical,,Facility,Operations,,"Local Area Networtk (LAN) infrastructure concentrating all operational networks. This includes grid operations management and control communications (eg: Field Area Networks (FANs), Substation Area Networks), as well as external party interfaces (eg: Market, Service Providers)",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
139,,Home Appliance vendors,,,,Role,Conceptual,Role,Organization,Customer,Enterprise,Home appliance manufacturers. Of special interest for Smart Grid is the inclusion of intelligent communicating appliances which can participate in Demand/Response situations and be monitored/controlled remotely,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,US,
140,,Home Automation Operator,,,,Role,Physical,,Person,Customer,,External role actor interacting directly with the home automation end device.,,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
141,,Home Management,,,,Service,Logical,,Application,Service Provider,,Service that monitors and controls home energy and potentially responds to signals while minimizing impact on home occupants. ,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
142,,Human Resources,,,,Role,Conceptual,,Organizational Entity,Operations,,"Human Resources (HR) roles actors manage personnel information and activities including safety, training, benefits, performance, review, compensation, recruiting, sceduling, training/employee job-ratings and expenses. HR also determines overtime scheduling and job qualifications for specifc tasks.",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
143,,Imbalance Settlement Responsible,,,,Role,Conceptual,,Organization,Market,,A party that is responsible for settlement of the difference between the contracted quantities and the realised quantities of energy products for the balance responsible parties in a market balance area. ,,,,,,,,,,,X,X,,, ,,,X,,,,,,,,,,,,,,,US,
144,,In Home Display,RM: Display; NR: Customer Premise Display; E: Intelligent HMI Energy Device,IHD,IHD,Service,Logical,,Device ?,Customer,,"An In-Home Display (for Homes) or facilities console for other customers (e.g. commercial buildings, industrial facilities, or vehicles) displaying usage, cost and other information to customers. Could be implemented as a device, web portal, or through another mechanism",,,,,,,,X,,X,,,X,,,X,,,,,,,,,,,,,,,,,US,
145,,Independent System Operator,RM: ISO/RTO; Independent System Operator/Regional Transmission Organization Wholesale Market,ISO,ISO,Role,Conceptual,,Organization,Operations,,"Independent System Operator (ISO): An independent entity that monitors/controls a power gridover a limited geographic area (typically a single to few States). Responsible for generation and transmission coordination of electricity, high-level load management and other signals for distribution companies. Additionally responsible for managing the area's wholesale generation Market on the behalf of Market participants (Generation, Distributed Generation, Service Providers and Aggregators.",,,,,X,X,X,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
146,,Industrial Automation,,,,Service,Logical,,Application,Customer,,System which controls devices at a large customer site which potentially could be used to direct building devices to increase/decrease load as needed.  ,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
147,,Industrial Customer,EU: Transportation Customer,,,Role,Conceptual,,Organization,Customer,,A large business which receives electricity from the electric distribution system. Typically utilities define industrial customers with usage above a minimum threshold.,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,US,
148,,Industrial Gateway,,,,Actor,Physical,,Device,Customer,,Communications device which could be used to send messages to devices and systems at a large industrial customer site.,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
149,,Information & Communication Technology (ICT) service providers/Vendors,,,,Role,Conceptual,,Organization,Operations,,"Computer Systems, intelligent field equipment,  communications equipment and software providers necessary to support grid operations",,,,,,,,,,,,,,, ,,X,,,,,,,,,,,,,,,,US,
150,,Installation Service Technician,,,,Actor,Physical,,Person,Service Provider,,"Installer of communicating/controlable customer devices, Building Automation Systems (BAS) and components.",,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,US,
151,,Interconnection Trade Responsible,,,,Role,Conceptual,,Organization,Market,,Is a market particpant or depends on one.  r\Recognised by the Nomination Validator for the nomination of already allocated capacity.,,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
152,,Internet Service Provider,,ISP,ISP,Role,Conceptual,,Organization,Service Provider,,ISPs provide Internet access to Customer Premise Networks. ,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
153,,ISO/RTO Operation,,,,Role,Logical,,Organization,Market,Market,A role that provides market driven perspective to the energy process. Interacts with operations across domains,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,US,
154,,Lighting,,,,Actor,Physical,,Device,Customer,,Customer owned system which provides illumination and which is potentially controllable by  automation or load control systems. ,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
155,,Load,"IE: AC Loads (Sect 6), Loads (Sect 7)",,,Role,Logical,,Device,Customer,,"Device connected to the distribution system that draws power from the grid. Load devices can be appliances, pump controls, HVACs, electric vehicles, etc",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
156,,Load Device,,,,Actor,Logical,,Device,Customer,,"Device connected to the distribution system which consumes electricity.  Load devices can be e.g. appliances, pump controls, HVACs, electric vehicles",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
157,,Load Management System ,,LMS,LMS,Service,Logical,,Application,Operations,,"LMS balances load by controlling Customer appliances and equipment (DR, DER, EV and ES charging/discharging).  To do this LMS processes load management program contracts, relevant historic information, profiles, behavioral models,  customer-specific power quality and reliability characteristics. ",,,,X,,X,,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
158,,Load Serving Entity,,LSE,LSE,Role,Logical,,Organization,Service Provider,,A role which carries the responsibility of serving end-users and selling electric energy to end-users.,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
159,,Local Authority,,,,Role,Conceptual,Manager,Organization,Generation,Enterprise,"A party that produces electricity 
Additional information: 
This is a type of Party Connected to the Grid ",,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
160,,Local Regulatory Authority,"N: regulator, state regulator",,,Role,Conceptual,,Organization,Agency,Enterprise,A regulatory authority responsible for the oversight and administration of utility service-related functions within its jurisdiction.,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
161,,Magnetic Energy Storage Systems,IEEE: Superconducting Magnetic Energy Storage Systems,SMES,SMES,Actor,Physical,,Device,Cross Cutting ,Process,SMES stores energy in a superconducting coil which is cryogenically cooled to its superconducting critical tempature.,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
162,,Maintenance and Construction,EU-WGSP: Maintenance and Inspection,,EU-WGSP: MC-MAI,Service,Logical,,Application,Operations,,"Maintenance and Construction actors coordinate equipment inspection, cleaning and adjustment , organize construction and design, dispatch and schedule maintenance and construction work, capture records gathered by field personnel and permit them to view necessary information to perform their tasks. ",,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,US,
163,,Market,NR: Market,,,Service,Conceptual,,Organization,Market,,"Market are entities that provide energy information/services. Market signal changes  in the operation of the system based upon market economic variable to/from Customers, utilities, and Service Providers. Market include Retail, Wholesale and Demand/Response Programs.",,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,US,
164,,Market Enrollment,,,,Service,Logical,,Application,Market,,The collection of enrollment or tariff data for a Demand Resource Object to provide a specific market product or service.,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
165,,Market Management,EU: Trader,,,Role,Logical,,Organization,Market,,"A person or entity that buys and sells energy goods and services in an organized electricity market (Power Exchange) or Over the Counter.Market managers include Regional OPerations entities (Independent System Operators (RTOs), and Regional Transmissiopn Operators (RTO)s for wholesale markets. There are transmission, services and demand response markets as well. Some Distributed Generation (DG) ",,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,US,
166,,Market Ops,,,,Service,Conceptual,,Application,Market,,"Manages and oversees wholesale power generation (and curtailment) contract execution. One of their primary functions is to deter market power abuses and anticompetitive behavior by ensuring  transparency with respect to bilateral contracts. Functions include financial and goods sold clearing, price quotation streams, audit and balancing. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
167,,Market Participant,,,,Actor,Logical,,Organization,Market,,"An organization registered with the System Operator that may take on roles such as Service Provider (SP), LSE, Trade Development Support Program (TDSP),  and/or Market Aggregator in accordance with the System Operator’s market rules.",,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
168,,Measurement,,,,Role,Logical,,Application,Customer,,The role associated with the device or algorithm that measures the consumption or supply of an End Device.,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
169,,Meter Data Management System,RM:Metering System; A:Meter Data Master System,MDMS,MDMS,Service,Logical,,Application,Operations,,"Meter Data Master System (MDMS) provides meter information typically including physical (eg: type, serial, firmware), spatial, usage information (e.g. energy usage, energy generation, meter logs, meter test results) and makes data available to authorized systems. Most MDMS also provide data validation and verification for bill settlement.",,,,X,,,,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
170,,Meter Operator,,MO,,Role,Conceptual,,Organization,,,"A party responsible for installing, maintaining, testing, certifying and decommissioning physical meters",,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
171,,Meter Reading and Control,,,,Service,Logical,,Application,Operations,,"Meter Reading and Control actors perform a variety of functions on the metering system including data collection, disconnect/reconnect, outage management, prepayment point of sale, power quality and reliability monitoring, meter maintenance and asset management, meter data management including validation, estimation and editing (VEE), customer billing, and load management, including load analysis and control, demand response, and risk management. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
172,,Metered Data Aggregator,MDA,,,Role,Conceptual,,Organization,,,A party responsible for the establishment and qualification of metered data from the Metered data responsible. This data is aggregated according to a defined set of market rules.,,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
173,,Metering Authority,,MA,MA,Role,Conceptual,,Organization,Agency,,A role which carries the responsibility of providing data necessary to determine the performance of a Resource.,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
